Year,AustralianPort,Passengers_Total,Freight_Total_(tonnes),Mail_Total_(tonnes)
2011,Perth,3349468,69877.84699999998,1441.5530000000003
2011,Sydney,11748582,408593.4180000001,26958.604999999996
2012,Brisbane,4471413,103090.90100000009,4611.991000000003
2012,Melbourne,6819242,238095.83899999995,9974.427999999998
2012,Perth,3618768,79426.09800000001,1584.7439999999997
2012,Sydney,12369193,418242.16999999946,26304.48599999999
2013,Brisbane,4669141,106075.54500000001,4359.100000000002
2013,Melbourne,7312143,245344.98499999993,9453.671000000004
2013,Perth,3919840,81955.91699999999,1599.7580000000005
2013,Sydney,12933885,413568.6550000002,24482.23699999998
2014,Brisbane,4964981,114352.60300000009,3856.171
2014,Melbourne,8022466,259870.7909999999,10669.041000000008
2014,Perth,4180407,84993.45300000001,1262.8359999999998
2014,Sydney,13315835,411083.6439999999,25019.84400000001
2015,Brisbane,5238522,123341.04000000001,3260.701999999998
2015,Melbourne,8859316,287199.9070000001,10248.943
2015,Perth,4192833,94577.42000000001,1011.175
2015,Sydney,13911228,443373.63499999983,22478.601
2016,Brisbane,2156276,47566.95599999999,1163.755
2016,Melbourne,3867282,118408.20300000002,3615.8250000000007
2016,Perth,1772603,39400.202000000005,277.26500000000004
2016,Sydney,6186627,190861.84300000005,8788.412999999997
